"BAL","BOS","CHW","CLE","DET","HOU","KC","LAA","MIN","NYY","OAK","SEA","TB","TEX","TOR"
"BAL",0,11,4,3,4,4,3,5,3,9,5,2,6,5,10
"BOS",8,0,4,6,3,6,2,3,4,13,3,6,12,2,11
"CHW",3,2,0,2,7,3,9,3,8,3,2,3,2,4,4
"CLE",4,1,17,0,4,6,10,4,13,1,5,5,2,5,4
"DET",2,4,12,15,0,6,9,0,11,3,3,5,3,3,5
"HOU",2,1,4,1,1,0,2,10,1,1,4,9,2,2,3
"KC",4,5,10,9,10,4,0,2,15,2,1,4,6,3,2
"LAA",2,3,4,2,6,9,5,0,1,3,8,11,4,4,6
"MIN",3,3,11,6,8,5,4,5,0,2,1,4,1,4,1
"NYY",10,6,3,6,3,5,5,4,5,0,1,4,7,3,14
"OAK",2,3,5,2,4,15,5,11,6,5,0,8,3,10,4
"SEA",4,1,3,2,2,10,3,8,3,3,11,0,3,7,3
"TB",13,7,5,4,3,5,1,3,6,12,3,3,0,4,11
"TEX",2,4,2,1,4,17,3,15,3,4,9,12,4,0,1
"TOR",9,8,3,2,2,4,4,1,5,5,3,3,8,6,0
